,schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium
3221,2012,DEN,31,23,TB,DEN,-7.5,50.0,Sports Authority Field at Mile High
3222,2012,DET,33,35,IND,DET,-7.0,51.0,Ford Field
3223,2012,GB,23,14,MIN,GB,-7.5,47.0,Lambeau Field
3224,2012,KC,27,21,CAR,CAR,-6.0,41.0,Arrowhead Stadium
3225,2012,MIA,16,23,NE,NE,-9.0,51.5,Hard Rock Stadium
3226,2012,NYJ,7,6,ARI,NYJ,-6.0,36.5,MetLife Stadium
3227,2012,LVR,17,20,CLE,CLE,-2.5,39.5,Oakland Coliseum
3228,2012,LAC,13,20,CIN,CIN,-2.5,46.0,Qualcomm Stadium
3229,2012,LAR,16,13,SF,SF,-8.0,41.0,Edward Jones Dome
3230,2012,TEN,10,24,HOU,HOU,-7.0,47.0,Nissan Stadium
3231,2012,WAS,17,16,NYG,NYG,-3.0,50.0,FedEx Field
3232,2012,LVR,13,26,DEN,DEN,-10.5,47.0,Oakland Coliseum
3233,2012,BUF,12,15,LAR,BUF,-3.0,42.5,New Era Field
3234,2012,CAR,30,20,ATL,ATL,-3.5,47.0,Bank of America Stadium
3235,2012,CIN,19,20,DAL,CIN,-3.5,46.0,Paul Brown Stadium
3236,2012,CLE,30,7,KC,CLE,-7.0,38.0,FirstEnergy Stadium
3237,2012,GB,27,20,DET,GB,-6.5,49.0,Lambeau Field
3238,2012,IND,27,23,TEN,IND,-4.0,47.0,Lucas Oil Stadium
3239,2012,JAX,10,17,NYJ,NYJ,-3.0,39.0,TIAA Bank Field
3240,2012,MIN,21,14,CHI,CHI,-1.5,40.5,Mall of America Field
3241,2012,NYG,52,27,NO,NYG,-4.5,51.5,MetLife Stadium
3242,2012,PIT,24,34,LAC,PIT,-7.5,38.0,Heinz Field
3243,2012,SF,27,13,MIA,SF,-10.5,38.5,Candlestick Park
3244,2012,SEA,58,0,ARI,SEA,-10.0,36.0,CenturyLink Field
3245,2012,TB,21,23,PHI,TB,-7.0,48.0,Raymond James Stadium
3246,2012,WAS,31,28,BAL,WAS,-1.5,48.0,FedEx Field
3247,2012,NE,42,14,HOU,NE,-5.5,51.0,Gillette Stadium
3248,2012,PHI,13,34,CIN,CIN,-5.0,45.0,Lincoln Financial Field
3249,2012,ARI,38,10,DET,DET,-6.5,43.5,University of Phoenix Stadium
3250,2012,ATL,34,0,NYG,PICK,0.0,50.0,Georgia Dome
3251,2012,BAL,17,34,DEN,DEN,-3.0,48.0,M&T Bank Stadium
3252,2012,CHI,13,21,GB,GB,-3.0,43.5,Soldier Field
3253,2012,CLE,21,38,WAS,CLE,-4.0,40.5,FirstEnergy Stadium
3254,2012,DAL,27,24,PIT,PIT,-2.5,46.0,AT&T Stadium
3255,2012,HOU,29,17,IND,HOU,-10.5,48.0,NRG Stadium
3256,2012,MIA,24,3,JAX,MIA,-7.5,38.0,Hard Rock Stadium
3257,2012,NE,34,41,SF,NE,-5.0,47.5,Gillette Stadium
3258,2012,NO,41,0,TB,NO,-3.5,55.0,Mercedes-Benz Superdome
3259,2012,LVR,15,0,KC,LVR,-4.5,44.0,Oakland Coliseum
3260,2012,LAC,7,31,CAR,LAC,-3.0,45.5,Qualcomm Stadium
3261,2012,LAR,22,36,MIN,LAR,-2.5,39.5,Edward Jones Dome
3262,2012,TEN,14,10,NYJ,TEN,-1.0,42.0,Nissan Stadium
3263,2012,DET,18,31,ATL,ATL,-4.0,50.5,Ford Field
3264,2012,ARI,13,28,CHI,CHI,-7.0,36.5,University of Phoenix Stadium
3265,2012,BAL,33,14,NYG,NYG,-2.5,47.0,M&T Bank Stadium
3266,2012,CAR,17,6,LVR,CAR,-9.5,47.0,Bank of America Stadium
3267,2012,DAL,31,34,NO,DAL,-3.0,54.5,AT&T Stadium
